Date,Close
2018-02-15,185294.0
2018-02-16,188332.0
2018-02-17,204288.0
2018-02-18,191743.0
2018-02-19,207057.0
2018-02-20,209930.0
2018-02-21,196917.0
2018-02-22,183192.0
2018-02-23,188784.0
2018-02-24,179384.0
2018-02-25,177444.0
2018-02-26,192536.0
2018-02-27,199776.0
2018-02-28,194352.0
2018-03-01,205555.0
2018-03-02,207284.0
2018-03-03,215148.0
2018-03-04,216782.0
2018-03-05,215809.0
2018-03-06,201982.0
2018-03-07,184808.0
2018-03-08,173292.0
2018-03-09,171660.0
2018-03-10,163086.0
2018-03-11,177179.0
2018-03-12,169405.0
2018-03-13,169899.0
2018-03-14,152441.0
2018-03-15,154107.0
2018-03-16,154993.0
2018-03-17,147185.0
2018-03-18,153420.0
2018-03-19,160925.0
2018-03-20,166967.0
2018-03-21,164197.0
2018-03-22,162826.0
2018-03-23,164863.0
2018-03-24,157347.0
2018-03-25,156509.0
2018-03-26,148945.0
2018-03-27,143177.0
2018-03-28,145213.0
2018-03-29,128745.0
2018-03-30,124611.0
2018-03-31,125934.0
2018-04-01,123935.0
2018-04-02,128758.0
2018-04-03,135065.0
2018-04-04,122937.0
2018-04-05,123292.0
2018-04-06,120808.0
2018-04-07,126026.0
2018-04-08,128413.0
2018-04-09,124122.0
2018-04-10,124648.0
2018-04-11,126542.0
2018-04-12,144096.0
2018-04-13,142074.0
2018-04-14,144394.0
2018-04-15,151027.0
2018-04-16,144873.0
2018-04-17,142141.0
2018-04-18,147426.0
2018-04-19,152871.0
2018-04-20,164157.0
2018-04-21,165154.0
2018-04-22,162862.0
2018-04-23,169252.0
2018-04-24,181562.0
2018-04-25,167170.0
2018-04-26,174415.0
2018-04-27,166259.0
2018-04-28,173961.0
2018-04-29,175522.0
2018-04-30,172649.0
2018-05-01,171964.0
2018-05-02,176196.0
2018-05-03,186183.0
2018-05-04,186759.0
2018-05-05,189633.0
2018-05-06,186210.0
2018-05-07,181968.0
2018-05-08,179991.0
2018-05-09,182466.0
2018-05-10,173634.0
2018-05-11,163012.0
2018-05-12,164172.0
2018-05-13,168098.0
2018-05-14,169814.0
2018-05-15,166679.0
2018-05-16,163319.0
2018-05-17,159407.0
2018-05-18,164403.0
2018-05-19,164423.0
2018-05-20,169554.0
2018-05-21,166566.0
2018-05-22,157742.0
2018-05-23,147470.0
2018-05-24,148291.0
2018-05-25,145848.0
2018-05-26,143296.0
2018-05-27,143382.0
2018-05-28,139082.0
2018-05-29,147962.0
2018-05-30,145951.0
2018-05-31,149126.0
2018-06-01,150011.0
2018-06-02,152345.0
2018-06-03,153942.0
2018-06-04,150384.0
2018-06-05,155527.0
2018-06-06,155432.0
2018-06-07,157111.0
2018-06-08,154514.0
2018-06-09,152107.0
2018-06-10,137296.0
2018-06-11,141440.0
2018-06-12,135475.0
2018-06-13,130046.0
2018-06-14,138237.0
2018-06-15,131653.0
2018-06-16,133797.0
2018-06-17,133180.0
2018-06-18,137901.0
2018-06-19,138355.0
2018-06-20,137740.0
2018-06-21,136471.0
2018-06-22,120859.0
2018-06-23,123047.0
2018-06-24,123241.0
2018-06-25,124363.0
2018-06-26,121262.0
2018-06-27,123634.0
2018-06-28,115678.0
2018-06-29,123593.0
2018-06-30,127244.0
2018-07-01,125783.0
2018-07-02,132135.0
2018-07-03,126819.0
2018-07-04,128097.0
2018-07-05,125933.0
2018-07-06,125769.0
2018-07-07,128825.0
2018-07-08,127953.0
2018-07-09,127751.0
2018-07-10,119875.0
2018-07-11,121645.0
2018-07-12,118232.0
2018-07-13,117399.0
2018-07-14,117965.0
2018-07-15,119969.0
2018-07-16,126903.0
2018-07-17,138293.0
2018-07-18,139256.0
2018-07-19,142277.0
2018-07-20,139551.0
2018-07-21,140902.0
2018-07-22,140804.0
2018-07-23,145916.0
2018-07-24,158675.0
2018-07-25,152686.0
2018-07-26,148240.0
2018-07-27,152291.0
2018-07-28,152906.0
2018-07-29,153110.0
2018-07-30,151436.0
2018-07-31,144583.0
2018-08-01,141502.0
2018-08-02,140535.0
2018-08-03,137716.0
2018-08-04,130097.0
2018-08-05,130628.0
2018-08-06,128566.0
2018-08-07,124019.0
2018-08-08,115971.0
2018-08-09,122331.0
2018-08-10,116136.0
2018-08-11,117643.0
2018-08-12,120486.0
2018-08-13,119741.0
2018-08-14,116887.0
2018-08-15,120305.0
2018-08-16,120060.0
2018-08-17,124444.0
2018-08-18,120703.0
2018-08-19,122528.0
2018-08-20,118890.0
2018-08-21,122759.0
2018-08-22,119271.0
2018-08-23,124144.0
2018-08-24,126723.0
2018-08-25,127574.0
2018-08-26,125996.0
2018-08-27,129811.0
2018-08-28,134905.0
2018-08-29,133463.0
2018-08-30,133614.0
2018-08-31,134048.0
2018-09-01,137306.0
2018-09-02,139330.0
2018-09-03,139581.0
2018-09-04,142637.0
2018-09-05,129740.0
2018-09-06,125314.0
2018-09-07,123760.0
2018-09-08,119527.0
2018-09-09,120603.0
2018-09-10,121615.0
2018-09-11,120760.0
2018-09-12,120663.0
2018-09-13,122043.0
2018-09-14,122521.0
2018-09-15,123141.0
2018-09-16,122752.0
2018-09-17,118353.0
2018-09-18,119264.0
2018-09-19,119985.0
2018-09-20,122538.0
2018-09-21,127512.0
2018-09-22,126604.0
2018-09-23,126489.0
2018-09-24,124917.0
2018-09-25,122199.0
2018-09-26,121836.0
2018-09-27,125759.0
2018-09-28,124144.0
2018-09-29,123575.0
2018-09-30,123611.0
2018-10-01,123516.0
2018-10-02,122943.0
2018-10-03,123864.0
2018-10-04,125800.0
2018-10-05,125077.0
2018-10-06,124081.0
2018-10-07,123891.0
2018-10-08,126437.0
2018-10-09,126583.0
2018-10-10,127078.0
2018-10-11,118713.0
2018-10-12,118769.0
2018-10-13,119322.0
2018-10-14,119587.0
2018-10-15,126988.0
2018-10-16,126747.0
2018-10-17,127159.0
2018-10-18,126678.0
2018-10-19,125775.0
2018-10-20,126900.0
2018-10-21,127125.0
2018-10-22,127460.0
2018-10-23,126370.0
2018-10-24,128470.0
2018-10-25,127239.0
2018-10-26,126439.0
2018-10-27,125833.0
2018-10-28,125814.0
2018-10-29,127304.0
2018-10-30,127088.0
2018-10-31,129400.0
2018-11-01,129133.0
2018-11-02,128719.0
2018-11-03,127936.0
2018-11-04,129866.0
2018-11-05,128658.0
2018-11-06,128488.0
2018-11-07,130639.0
2018-11-08,130757.0
2018-11-09,129337.0
2018-11-10,129557.0
2018-11-11,129942.0
2018-11-12,131262.0
2018-11-13,132336.0
2018-11-14,120076.0
2018-11-15,116474.0
2018-11-16,114151.0
